,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,6,0,15,0,25,0,45,1,56,1,63,2,69,3,74,5,85,5,88,5,97,6,100,8,103,8,109,8,109,8,109,8,109,8,109,8,109,8,109,8,119,0
0,0,0,7,0,24,0,26,0,36,1,46,1,48,2,53,2,57,2,64,3,69,3,72,3,83,5,90,5,97,5,105,5,120,5,141,5,146,6,160,6,168,6,167,1
0,0,0,8,0,12,0,21,0,29,0,38,1,42,2,46,2,56,2,58,2,63,2,65,4,72,4,81,4,90,4,103,5,106,6,109,6,119,6,130,6,139,8,157,0
0,0,0,1,1,7,2,12,3,26,3,35,3,44,3,53,3,62,3,65,4,73,4,81,4,86,5,98,5,114,5,122,6,126,8,127,9,130,10,130,10,130,10,183,0
0,0,0,1,0,9,0,15,0,21,0,26,1,29,1,35,2,39,2,48,2,56,2,72,2,84,4,92,4,100,4,116,4,122,4,141,4,149,4,161,4,161,4,158,1
0,0,0,11,1,11,1,15,2,16,2,27,2,43,2,46,2,55,2,61,2,66,2,74,3,80,3,87,3,94,3,96,3,106,3,126,3,131,3,137,4,149,5,151,0
0,0,0,3,1,8,1,11,2,18,2,21,2,28,2,33,2,38,2,44,2,49,2,59,2,64,2,69,2,76,2,80,2,86,2,93,2,100,2,100,2,100,2,100,1
0,0,0,6,0,11,1,16,1,17,1,19,1,25,1,30,2,37,3,41,3,42,4,48,4,51,6,58,6,65,6,68,6,77,7,78,8,83,8,88,9,93,9,146,0
0,0,0,9,0,22,0,24,1,31,1,35,1,37,1,43,2,49,2,59,2,66,2,80,2,89,2,99,2,108,2,120,2,128,2,137,2,148,2,160,2,165,2,164,1
0,0,0,2,1,10,1,23,1,28,2,36,2,52,2,60,2,66,2,79,3,91,3,99,3,105,4,116,4,122,4,128,4,133,5,142,5,146,6,156,6,163,6,163,1
0,0,0,19,0,31,0,51,1,64,2,68,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,3,90,1
0,0,0,10,0,22,0,36,0,44,0,71,0,83,0,92,0,101,0,105,0,121,0,128,0,135,1,141,1,153,1,162,2,172,3,172,3,172,3,172,3,172,3,170,1
0,0,0,10,0,20,0,28,1,38,1,48,1,55,2,63,2,74,2,78,4,82,4,85,4,91,5,96,5,102,5,111,6,119,6,125,7,130,7,140,7,155,8,181,0
0,0,0,6,1,11,2,14,4,15,4,27,4,32,4,35,5,41,5,44,6,50,6,54,6,57,6,64,6,79,6,81,8,81,10,81,10,81,10,81,10,81,10,212,0
0,0,0,7,0,13,0,20,1,29,1,37,1,41,3,46,3,53,3,58,3,63,3,74,3,83,4,89,4,93,4,102,4,108,5,117,5,125,6,129,7,137,7,186,0
0,0,0,1,0,4,0,8,1,18,1,37,1,47,1,53,1,55,1,58,1,65,2,70,2,75,3,85,3,89,3,96,4,105,4,118,4,132,4,138,4,138,4,138,1
0,0,0,8,0,19,0,28,1,37,1,53,1,62,1,67,1,75,1,81,1,86,2,89,2,95,3,98,3,106,3,122,3,127,3,136,4,146,4,159,4,160,4,160,1
0,0,0,5,0,13,1,17,1,25,1,29,1,37,1,42,1,44,2,49,4,53,4,61,4,62,7,72,7,76,8,82,8,87,8,92,9,93,10,93,10,93,10,176,0
0,0,0,6,0,19,0,21,1,28,2,31,2,35,2,38,2,44,2,52,2,57,2,62,2,71,2,75,2,81,2,83,3,89,3,93,4,102,4,114,4,127,5,129,0
0,0,0,5,0,13,0,15,0,24,0,38,0,45,0,50,0,56,0,67,0,75,0,77,1,85,1,96,1,101,2,106,2,113,2,113,2,113,2,113,2,113,2,113,1
0,0,0,3,0,14,0,32,0,41,1,56,1,65,1,71,2,74,4,76,4,81,4,94,4,99,4,106,4,111,4,121,4,134,4,142,4,154,5,165,5,177,5,193,0
